Job Title,Job Experience Required,Key Skills,Role Category,Location,Functional Area,Industry,Role,Longitude,Latitude,Salary
seo executive,1 - 6 yrs,website| web analytics| xml| link building| google analytics| case studies| seo| social media| tracking| maintaining,admin/maintenance/security/datawarehousing,"noida,delhi,noida/greater noida","it software - ecommerce , internet technologies","it-software, software services",webmaster,77.5545502,28.3900177,2167
workflow coordinator,2 - 7 yrs,operations| workflow| tat| monitoring| mts| email,operations,"delhi,delhi","ites , bpo , kpo , lpo , customer service , operations","bpo, call centre, ites",process flow analyst,77.2219388,28.6517178,2063
oracle idam,3 - 7 years,oracle idam|oim|oam,programming & design,"bengaluru,hyderabad,kolkata,chennai","it software - application programming , maintenance",it-software / software services,software developer,77.1212148,19.0759899,3239
looking facebook /social media manager for our digital marketing ageny,2 - 4 yrs,digital marketing| seo| social media marketing| content marketing| email marketing| sem| google analytics| campaign management| facebook| media management,online/digital marketing,gurgaon,"marketing , advertising , mr , pr , media planning","advertising, pr, mr, event management",social media marketing manager,77.00270015,28.42826235,6979
wanted engineering fresher for mnc chennai,0 - 1 yrs,instrumentation engineering| electrical engineering| engineering| fresher| trainee| immediate| mechanical engineering| electronics engineering| undergraduate,programming & design,chennai,other,other,other,80.270186,13.0836939,1513
tooling &amp; sampling,2 - 7 yrs,help desk| customer service| customer relationship| access controls| asset management| vendor management,engineering design,faridabad,"engineering design , r&d","industrial products, heavy machinery",senior design engineer,77.3105561,28.4031478,6622
account manager,3 - 7 yrs,report generation| policies| analytical| procedures| analysts| data entry| analytical skills,accounts,mumbai,"accounts , finance , tax , company secretary , audit","it-software, software services",accounts manager,72.8773928,19.0759899,5324
magento developer,2 - 7 yrs,copyright| email| jquery| xml| javascript| cakephp| customer service| open source| facebook| css3,programming & design,ahmedabad,"it software - ecommerce , internet technologies","textiles, garments, accessories",software developer,72.5797068,23.0216238,6891
looking for trained freshers in ms dynamics crm- hyderabad,0 - 3 yrs,c#| ms dynamics crm| microsoft dynamics| ms dynamics,programming & design,hyderabad,"it software - application programming , maintenance","it-software, software services",software developer,78.4740613,17.360589,6493
job openings kotak life/ max life/ aditya birla health for sales mgr,3 - 7 yrs,sales manager| business development manager| relationship manager| brokers| insurance sales| channel sales| direct sale| direct marketing| sales| marketing executive| territory sales manager,retail/personal banking,"bhilai/bhillai,bhilwara,bhopal,bhubaneshwar,bikaner,bilaspur,bokaro,chandigarh,burdwan","financial services , banking , investments , insurance",insurance,sales officer,77.1212148,19.0759899,5623
business development / corporate sales,0 - 4 yrs,lead generation| business development| corporate sales,retail sales,delhi ncr,"sales , retail , business development","it-software, software services",sales/business development manager,77.1212148,28.6882438,1564
business development manager (bdm),2 - 5 yrs,contract management| closing| it services| relationship building| managed services| selling| market research| business development manager| sales,retail sales,"delhi,delhi","sales , retail , business development","it-software, software services",sales/business development manager,77.2219388,28.6517178,5439
qa executive,2 - 5 yrs,qa executive,qa/testing/documentation,hyderabad,it software - qa & testing,"pharma, biotech, clinical research",quality assurance/quality control executive,78.4740613,17.360589,5434
back end java developer - restful services/soap,6 - 8 yrs,java ee| jms| core java| junit| weblogic| html| jpa| json| soap| sql,programming & design,bengaluru,"it software - dba , datawarehousing","it-software, software services",software developer,77.590082,12.9767936,4114
product engineer,4 - 9 yrs,conceptualization| architecting| continuous improvement| side| development| front end| it,programming & design,bengaluru,"it software - application programming , maintenance","it-software, software services",software developer,77.590082,12.9767936,4897
opening for articulate tool developer - articulate / captivate)chennai,3 - 5 yrs,articulate storyline,programming & design,chennai,"it software - application programming , maintenance","animation, gaming",graphic/web designer,80.270186,13.0836939,4626
urgent hiring for area sales manager,7 - 12 yrs,area sales management| retail sales| fmcg| chocolate| confectionary| asm| area sales manager| area business manager,retail sales,"ambala,gurgaon","sales , retail , business development","fmcg, foods, beverage",area sales manager,76.770421,30.3843674,1724
software engineer - c++ development - ooad/oops,4 - 9 yrs,c#| java| oop| c++| multithreading| uml| ooad| oops| .net| debugging,programming & design,chennai,"it software - application programming , maintenance","it-software, software services",software developer,80.270186,13.0836939,4562
linux administrator lead,5 - 10 yrs,qmail| workflow| nagios| windows server| networking| mysql| monitoring| redhat| maintaining| centos,admin/maintenance/security/datawarehousing,"gurgaon,gurgaon","it software - network administration , security","it-software, software services",system administrator,77.00270015,28.42826235,5425
hiring for tech pm/scrum master for hyderabad location,8 - 10 yrs,java| jpa| hibernate| project management| jdbc| scrum master| microservices| agile| soap| rest,project management,hyderabad,"it software - application programming , maintenance","it-software, software services",project manager-it/software,78.4740613,17.360589,5286
assistant professor (grade i)-theoretical computer science,3 - 5 yrs,vide,programming & design,delhi,"teaching , education , training , counselling","education, teaching, training",software developer,77.2219388,28.6517178,2948
us based financial company looking for java api engineers for hyd,6 - 8 yrs,java| java api| banking| j2ee| api| finance| core java| microservices,programming & design,hyderabad,"it software - application programming , maintenance","it-software, software services",software developer,78.4740613,17.360589,5198
strong partner ecosystem,2 - 7 yrs,gis| iso 27001| hr| information system| process| iso 9001| information security management| gis software| management| edge,programming & design,noida,"it software - application programming , maintenance","it-software, software services",project lead,77.3271074,28.5707841,4494
wordpress web developer,3 - 6 yrs,vide,programming & design,bengaluru,"it software - application programming , maintenance","recruitment, staffing",software developer,77.590082,12.9767936,4689
senior executive- contract logistics- bom wp-a,2 - 5 yrs,administration| administrative support| contract logistics| staff development| site management| quality improvement| warehousing| warehouse operations,logistics,mumbai,purchase / logistics / supply chain,"courier, transportation, freight , warehousing",logistics executive,72.8773928,19.0759899,3815
accounts manager,2 - 3 yrs,filing| tds| service industry| pf| esi| returns| coaching| payroll| invoice| tally,accounts,mumbai,"accounts , finance , tax , company secretary , audit","security, law enforcement",accounts executive/accountant,72.8773928,19.0759899,3252
technical sales executive with fixed pay & lucrative incentives/uk inb,0 - 3 yrs,outbound| antivirus| technical support| sales| spot| inbound calls| pay| medical| comp,voice,kolkata,"ites , bpo , kpo , lpo , customer service , operations","it-software, software services",associate/senior associate -(nontechnical),88.35769124,22.5414185,3087
nutanix sme,15 - 20 yrs,troubleshooting| dns| dhcp| monitoring| virtualization| shell scripting| python| vms| open source| archiving,technical support,bengaluru,"it hardware , technical support , telecom engineering","it-software, software services",technical support manager,77.590082,12.9767936,1965
system architect - 3g/4g wireless network architecture & migration,10 - 16 yrs,4g| 3gpp| 3g| system architect| lte| radio access network| phd| ieee,programming & design,mumbai,"it software - network administration , security","it-software, software services",technical architect,72.8773928,19.0759899,3883
"excellent opportunity for ” linux device driver ” ,for hyderabad and ban",2 - 7 years,arm processor|c|device drivers|embedded linux|linux kernel|ipc,programming & design,"hyderabad, bengaluru","it software - application programming , maintenance",it-software / software services,software developer,77.6370384,13.023331,5273
java developer,6 - 8 yrs,jms| core java| sonar| weblogic| xml| j2ee| svn| spring| oracle 11g| sql,programming & design,pune,other,other,other,73.8544541,18.521428,4087
regional representative,0 - 3 yrs,market| presentation| strong analytical skills| english| presentation skills| developing| customer interaction,institutional sales,noida,"sales , retail , business development","it-software, software services",sales/business development manager,77.3271074,28.5707841,4615
hiring for record to report,1 - 4 yrs,fixed assets| accounts payable| record to report| general accounting| general ledger,voice,"gurgaon,noida","ites , bpo , kpo , lpo , customer service , operations","bpo, call centre, ites",associate/senior associate -(nontechnical),77.00270015,28.42826235,6666
product & regional sales manager,3 - 6 yrs,team management| regional sales| management,retail sales,mumbai,"sales , retail , business development","strategy, management consulting firms",regional manager,72.8773928,19.0759899,6397
senior manager/associate director - mandarin,10 - 15 yrs,commercial activities| commercial sales| online sales| senior management| budgeting| strategy implementation| marketing| e - commerce,senior management,"delhi,gurgaon","sales , retail , business development","internet, ecommerce",head / vp/ gm/ national manager after sales,77.0222524,28.5061017,3009
odi developer/lead odi developer - raci,5 - 10 yrs,odi| matrix,programming & design,mumbai,"it software - dba , datawarehousing","it-software, software services",software developer,72.8773928,19.0759899,4707
ui developer,2 - 4 yrs,javascript| sql| php| php mysql| css| software development| technical| photoshop| mca| ajax| jquery| application| web| design| mysql| html,programming & design,noida,"it software - application programming , maintenance","it-software, software services",software developer,77.3271074,28.5707841,6928
assistant manager,5 - 8 yrs,relationship management| relationship building| client relationship| training| analytical skills| process mapping| standard operating procedures| agile| management| visa processing,voice,gurgaon,"ites , bpo , kpo , lpo , customer service , operations","education, teaching, training",associate/senior associate -(nontechnical),77.00270015,28.42826235,2117
android developer,2 - 5 yrs,android| btech| iphone| server| analytical| developing| ios| platforms| objective c| web| xml| design| json| programming| development| c| testing| mobile| xcode| application development| eclipse| application| sdk| applications,programming & design,bengaluru,"it software - application programming , maintenance","it-software, software services",software developer,77.590082,12.9767936,2293
international bpo / non voice process / rotational shift / ahmedabad,1 - 4 yrs,cca| bpo| csr| international bpo| customer service| outbound process| customer care| tourism| customer support| fresher| voice process| inbound process| cse| bpo fresher| voice support| hotel| travel,voice,ahmedabad,"ites , bpo , kpo , lpo , customer service , operations","bpo, call centre, ites",associate/senior associate -(nontechnical),72.5797068,23.0216238,6757
ios developer,2 - 5 yrs,bca| graphics| application development| b tech| core| b sc| application| b e| ios| publishing| animation,programming & design,"chandigarh,chandigarh",it software - mobile,"it-software, software services",software developer,76.7797143,30.7334421,3523
f&a black belt - process excellence lead,8 - 13 yrs,accounting| continuous improvement| process improvement| load balancing| lean six sigma| black belt| training| green belt| process re - engineering| process excellence| business excellence| otc,back office/web/transaction processing,"chennai,gurgaon,bengaluru","ites , bpo , kpo , lpo , customer service , operations","bpo, call centre, ites",team leader -(nontechnical),77.5645232,13.0149021,3759
it - head (preferably from an ngo),15 - 20 yrs,networking| information technology| network administration| technical support| support services| license management| disaster recovery| data security| it training| it software,programming & design,delhi ncr,other,"ngo, social services, regulators, industry associations",other,77.1212148,28.6882438,5898
digital content producer for largest media house,3 - 8 yrs,automobile| digital content| content development| production| web content writing,content development,"bengaluru,hyderabad","journalism , editing , content","media, entertainment, internet",content developer,77.6370384,13.023331,3515
manager holidays,6 - 10 yrs,tourism| target achievement| negotiation skills| revenue management| tour packages,retail sales,mumbai,"sales , retail , business development","aviation, aerospace, aeronautical",sales/business development manager,72.8773928,19.0759899,6136
backend developer,1 - 5 yrs,php| networking| data structures| http| json| software design| computer science| system design| backend| ticketing,programming & design,bengaluru,"it software - application programming , maintenance","internet, ecommerce",software developer,77.590082,12.9767936,4176
junior big data analyst in,1 - 3 yrs,vide,operations,bengaluru,"ites , bpo , kpo , lpo , customer service , operations","recruitment, staffing",business/edp analyst,77.590082,12.9767936,2074
chief engineer,11 - 15 yrs,chief engineer| hospitality| hvac| maintenance| water treatment| energy conservation| capital expenditure,programming & design,hyderabad,top management,"travel , hotels , restaurants , airlines , railways",ceo/md/director,78.4740613,17.360589,2994
business development manager,vide,marketing|executive|marketing|marketing|executive|direct|executives|marketing|executive|executive|executive|executive|marketing|executive|marketing|executive|direct|marketing|executive|marketing|executive|marketing|executive|executive|marketing|executive|direct|executive|direct|marketing|executive|executive|direct|marketing|marketing|executive,programming & design,bengaluru,"it software - application programming , maintenance","it-software, software services",software developer,11.0480288,46.3144754,2709
oracle dba consultant - data guard/rac modules,2 - 5 yrs,weblogic| configuration| mysql| installation| oracle dba| troubleshooting| oracle rac,admin/maintenance/security/datawarehousing,mumbai,"it software - dba , datawarehousing","it-software, software services",dba,72.8773928,19.0759899,1528
global hr operations analyst,1 - 4 yrs,service level| data management| hr coordinator| management audit| hr operations| human resource management,hr/ recruitment / ir,gurgaon,"hr , recruitment , administration , ir","industrial products, heavy machinery",hr executive,77.00270015,28.42826235,6377
business development manager,vide,manager|transformation|manager|transformation|manager|manager|manager|manager|transformation|manager|transformation|manager|manager|transformation|manager|manager|transformation|transformation|manager|manager|manager|manager|manager|manager|manager|manager|manager|manager|transformation|manager|manager|manager|manager|manager|manager|transformation|manager|manager|manager|manager|manager|manager|manager|transformation|manager|transformation|manager|manager|manager|transformation|manager|transformation|manager|manager|transformation|manager|manager|manager|manager|manager|manager|manager|manager|transformation,programming & design,bengaluru,"it software - application programming , maintenance","it-software, software services",software developer,11.0480288,46.3144754,3764
compiler- support engineer,5 - 10 yrs,graphics| c++| windows os| linux| high performance computing| test cases| system software| gaming| freebsd,programming & design,bengaluru,"it software - application programming , maintenance","telcom, isp",software developer,77.590082,12.9767936,4462
key accounts manager,0 - 0 yrs,vide,advertising,bengaluru,"marketing , advertising , mr , pr , media planning","telcom, isp",client servicing/key account manager,77.590082,12.9767936,2096
head sales- coworking company,7 - 12 yrs,sales| team building| strategic leadership| real estate| field sales| sales strategy| enterprise business| go - to - market strategy| enterprise sales| sales executive activities| marketing,senior management,delhi ncr,"sales , retail , business development","real estate, property",head/vp/gm/national manager -sales,77.1212148,28.6882438,6305
"clubhouse manager, facility manager,",2 - 5 yrs,facility management| facility services,health & fitness,bengaluru,beauty / fitness / spa services,facility management,centre head / branch head / club manager,77.590082,12.9767936,3408
ip drg / surgery / ed / denials coders,1 - 5 yrs,sds| radiology| cpt| icd - 10| em| medical coding| coders| surgery| ed,voice,"chennai,hyderabad,trivandrum","ites , bpo , kpo , lpo , customer service , operations","bpo, call centre, ites",associate/senior associate -(nontechnical),77.1212148,19.0759899,2230
sales manager - education sales,5 - 7 yrs,market analysis| public relations| cv| relationship building| market intelligence| prospecting| budgeting| sales process| branding,retail sales,gurgaon,"sales , retail , business development","recruitment, staffing",sales/business development manager,77.00270015,28.42826235,2856
hr associate,0 - 2 yrs,erp| mis| succession planning| reports| talent management| human resources| hr policies| recruitment| talent acquisition,hr/ recruitment / ir,hyderabad,"hr , recruitment , administration , ir","it-software, software services",hr executive,78.4740613,17.360589,5736
manager / sr manager - digital ad sales - ecommerce,4 - 9 yrs,revenue generation| marketing| ad sales| web technologies,corporate sales,"delhi ncr,mumbai","sales , retail , business development","internet, ecommerce",sales/business development manager,121.0977529,14.6719732,3637
architect junior/ middle level,1 - 2 yrs,co ordination| team management| drafting| loans| online| coordination| quality,architectural services,noida,"architecture , interior design","bpo, call centre, ites",project architect,77.3271074,28.5707841,2577
php developer,3 - 4 yrs,english| php| xml| dom| soap| com| web technologies| written communication| email| time,programming & design,gurgaon,it software - other,"recruitment, staffing",software developer,77.00270015,28.42826235,4436
openstack engineer / openstack admin with ceph storage,6 - 11 yrs,cloud| puppet| python| git| kvm| linux| jenkins| openstack| ansible,programming & design,bengaluru,"it software - application programming , maintenance","it-software, software services",system analyst,77.590082,12.9767936,3679
sr. software engineer,4 - 8 yrs,national| branch| vice president| j2ee| software,programming & design,noida,"it software - application programming , maintenance","strategy, management consulting firms",software developer,77.3271074,28.5707841,5975
software engineering- mentor,1 - 5 yrs,mentor| android| consulting| usage| development| software| mobile| it| side| front end| web technologies| coding| web| backend| open source| programming| investment,programming & design,bengaluru,"it software - embedded , eda , vlsi , asic , chip design","it-software, software services",software developer,77.590082,12.9767936,3935
application tester,3 - 8 yrs,performance testing| software testing| manual testing| quality testing,programming & design,chennai,"it software - application programming , maintenance","it-software, software services",testing engineer,80.270186,13.0836939,5256
credit control - manager / asst. manager,3 - 5 yrs,pivot table| credit analysis| tally erp| accounting| vlookup| finance| lookup| advanced excel| hlookup| credit control,programming & design,pune,other,"travel , hotels , restaurants , airlines , railways",other,73.8544541,18.521428,3675
night shift - non voice / web chat - bpo,0 - 5 yrs,international bpo| bpo| kpo| web chat| non voice process| e mail| international call center| customer service representative| cse| interpersonal skills| ites| uk shift| customer service| e - commerce| customer care| customer support| bpo fresher,voice,"ahmedabad,gandhinagar,vadodara","ites , bpo , kpo , lpo , customer service , operations","bpo, call centre, ites",associate/senior associate -(nontechnical),72.6300562,23.0876721,1738
sales executive,2 - 4 yrs,innovative| aggressive,front office/customer care,"bengaluru,hyderabad (1) ,gurgaon,...more","hotels , restaurants","travel , hotels , restaurants , airlines , railways",front office/guest relations executive/manager,77.1212148,19.0759899,4134
design engineer mechanical,7 - 12 yrs,communication skills| detail engineering| material handling| autocad| detailing| design engineering| microstation| bid evaluation,engineering design,kolkata,"engineering design , r&d","oil and gas, energy, power, infrastructure",design engineer,88.35769124,22.5414185,6330
android developer,1 - 3 yrs,design| android| erp| software| mvc| quality,programming & design,bengaluru,"it software - application programming , maintenance","it-software, software services",software developer,77.590082,12.9767936,4041
technical writer,4 - 7 yrs,technical writing| technical documentation| articles| writing skills| product support,qa/testing/documentation,gurgaon,"it software - ecommerce , internet technologies","it-software, software services",technical writer,77.00270015,28.42826235,3753
"pro-engineer , matlab ,ansys",3 - 7 yrs,ansys| thermal| matlab| system design| recruitment| mccb| electricals,engineering design,hyderabad,"engineering design , r&d","recruitment, staffing",design engineer,78.4740613,17.360589,2994
business development executive - kolkata,2 - 6 yrs,product placement| market research| distributor handling| business development executive| customer service| customer service executive| secondary sales| supervision,retail sales,kolkata,"sales , retail , business development","textiles, garments, accessories",sales/business development manager,88.35769124,22.5414185,6744
accountant - uk based accounting,1 - 6 yrs,management accounting| accounting| vat| book keeping| sage| tax returns,accounts,ahmedabad,"accounts , finance , tax , company secretary , audit","recruitment, staffing",accounts executive/accountant,72.5797068,23.0216238,5060
opportunity for current account rm ||bank || delhi,2 - 7 yrs,trade| forex trading| forex| fx| lead generation| accounting| banking| revenue generation| current account,retail sales,delhi ncr,"sales , retail , business development","banking, financial services, broking",sales/business development manager,77.1212148,28.6882438,6436
php developer,1 - 5 yrs,xml| javascript| php| development| css| technical| analytical| software| testing| html| tools| joomla| coding| jquery| web| mysql| wordpress| design| xhtml| debugging| ajax,programming & design,noida,"it software - application programming , maintenance","it-software, software services",software developer,77.3271074,28.5707841,3541
senior engineering maintenance manager for knitting and zld system,12 - 22 yrs,zld| engineering management| knitting,production/manufacturing/maintenance,bengaluru,"production , manufacturing , maintenance","textiles, garments, accessories",engineering manager,77.590082,12.9767936,1802
accounting specialist,0 - 3 yrs,analyst| erp| change management| business objects| managed services| business process mapping| executive management| data mining| oracle project accounting| testing,accounts,pune,"accounts , finance , tax , company secretary , audit","it-software, software services",accounts executive/accountant,73.8544541,18.521428,4227
manager (service operation),8 - 12 yrs,erp| succession planning| mis| reports| talent management| human resources| hr policies| recruitment| talent acquisition,hr/ recruitment / ir,chennai,"hr , recruitment , administration , ir","construction, engineering, cement, metals",training manager,80.270186,13.0836939,5688
devops engineer intern,0 - 1 yrs,intern| linux| windows| unix| dns| c++| perl| iis| redhat| http,programming & design,hyderabad,"it software - application programming , maintenance","it-software, software services",software developer,78.4740613,17.360589,5179
php developer (wordpress & woo commerce/shopify / magento),2 - 5 yrs,c| woocommerce| magento| wordpress| mysql| php| shopify| jquery| web development| ajax,programming & design,ahmedabad,"it software - application programming , maintenance","it-software, software services",software developer,72.5797068,23.0216238,6185
java developer,1 - 2 yrs,css| singleton| xml| javascript| jdbc| struts| json| html| spring boot| jquery,programming & design,mumbai,"it software - application programming , maintenance","it-software, software services",software developer,72.8773928,19.0759899,4877
sr. manager- business development,15 - 22 yrs,business development management| bd| marketing| business development| projects| business development manager| bdm| tendering| proposal,corporate sales,ahmedabad,"sales , retail , business development","construction, engineering, cement, metals",sales/business development manager,72.5797068,23.0216238,6269
test principal engineer,8 - 10 yrs,ethical hacking| certified ethical hacker| networking protocols| penetration testing| nessus| nmap| fortify| vulnerability assessment| appscan| qualys,programming & design,bengaluru,it software - qa & testing,"it-software, software services",testing engineer,77.590082,12.9767936,1586
graphic designer,2 - 7 yrs,graphic designing| graphics| adobe creative suite| architecture| ms office| business executive,creative,ahmedabad,"design , creative , user experience","architecture, interior design",graphic designer,72.5797068,23.0216238,3076
business development executive,1 - 3 yrs,payment collection| costing| business development executive| lead generation| sales| vendor| cost,corporate sales,bengaluru,"sales , retail , business development","recruitment, staffing",sales executive/officer,77.590082,12.9767936,4264
animation resident,2 - 6 yrs,internship| digital marketing| social media| relationship building| animation| creative| indesign| business executive| presentation skills| senior,advertising,delhi,"marketing , advertising , mr , pr , media planning","advertising, pr, mr, event management",client servicing executive,77.2219388,28.6517178,2876
enterprise business development representative,1 - 3 years,market penetration|marketing|customer satisfaction|enterprise business|web technologies|business development|strategy|aws|sales,channel sales,bengaluru,"sales , retail , business development",it-software / software services,sales executive / officer,77.590082,12.9767936,4577
dot net developer,2 - 5 yrs,jquery| git| microsoft sql server| net asp net| software| testing| ado.net| microsoft| tools| sql| unit tests| database| application| web| design| .net| object oriented programming| support| programming,programming & design,"chennai,gurgaon","it software - application programming , maintenance","it-software, software services",software developer,79.8077463,11.9256207,4154
"urgent opening for ""us staffing professionals"" - noida",1 - 5 yrs,technical recruitment| us staffing| us recruitment| us recruiter| us it staffing| technical recruiter| it recruiter| recruiter| w2| c2c| talent acquisition| recruitment| staffing| sourcing,hr/ recruitment / ir,"delhi ncr,noida","hr , recruitment , administration , ir","recruitment, staffing",recruitment executive,121.0977529,14.6719732,2548
front office executive-noida,1 - 2 yrs,front office executive,programming & design,noida,"executive assistant , front office , data entry","recruitment, staffing",receptionist,77.3271074,28.5707841,2882
project executive/coordinator,2 - 4 yrs,project administration| coordination,sales support,delhi (bhikaji cama),"sales , retail , business development","industrial products, heavy machinery",sales coordinator,77.1878709,28.5702618,6053
sterling oms architect,5 - 10 yrs,order management system| sterling commerce| sterling| oms| sterling integrator| ecommerce| e - commerce,system design/implementation/erp/crm,chennai,"it software - ecommerce , internet technologies","it-software, software services",solution architect / enterprise architect,80.270186,13.0836939,1889
dot net developer,3 - 5 yrs,analytical| documentation| web development| algorithms| development| javascript| sql server| jquery| database| web| flex| design| mysql| net,programming & design,"gurgaon,gurgaon","it software - application programming , maintenance","it-software, software services",software developer,77.00270015,28.42826235,6744
centreless grinding operator,4 - 8 yrs,nctvt,production/manufacturing/maintenance,pune,"production , manufacturing , maintenance","internet, ecommerce",workman/foreman/technician,73.8544541,18.521428,1586
php developer jobs in gurgaon - team lead - php,8 - 13 yrs,drupal| application programming| mysql| wordpress| php| cakephp| team leader| mvc| zend| software services,programming & design,gurgaon,"it software - application programming , maintenance","recruitment, staffing",software developer,77.00270015,28.42826235,5161
sales lead,3 - 7 yrs,outbound| sales| project management| analytical| sales lead| automation tools| sales process| marketing automation,retail sales,bengaluru,"sales , retail , business development","internet, ecommerce",sales executive/officer,77.590082,12.9767936,5684
clerk - garh shankar (vacancy-1),not mentioned,vide,programming & design,chandigarh,"executive assistant , front office , data entry","government, defence",software developer,76.7797143,30.7334421,4488
senior design engineer - manufacturing,6 - 8 yrs,autocad| 3d modeling| fmea| mechanical engineering| mechanical design| solidworks,production/manufacturing/maintenance,pune,"production , manufacturing , maintenance","industrial products, heavy machinery",design engineer/manager,73.8544541,18.521428,3248
software engineer automation - industrial automation job in bangalore,3 - 5 yrs,automation engineer,engineering design,bengaluru,"engineering design , r&d","industrial products, heavy machinery",technical lead/project lead,77.590082,12.9767936,2265
looking for assistant manager - healthcare (us visa is must),5 - 10 yrs,revenue cycle management| us healthcare| payment posting| medical billing| medical coding| us visa| team leading skills| healthcare| denial management| rcm,back office/web/transaction processing,chennai,"ites , bpo , kpo , lpo , customer service , operations","medical, healthcare, hospitals",team leader -(nontechnical),80.270186,13.0836939,1569
senior accounts executive,4 - 8 yrs,vide,accounts,kolkata,"accounts , finance , tax , company secretary , audit","recruitment, staffing",accounts executive/accountant,88.35769124,22.5414185,3724
qa for voice process (le-0097-n1c),2 - 6 yrs,voice process| qaqc| writing| process operations| verbal,quality,pune,"ites , bpo , kpo , lpo , customer service , operations","internet, ecommerce",quality assurance/quality control executive,73.8544541,18.521428,3930
"senior resident - obs. & gynae, max hospital, gurgaon",0 - 3 yrs,patient care| nursing| people orientation| report generation| service quality| disaster management| customer care| medical| process orientation,programming & design,delhi ncr,other,"medical, healthcare, hospitals",other,77.1212148,28.6882438,3934
business development manager,vide,vide,programming & design,bengaluru,"it software - application programming , maintenance","it-software, software services",software developer,11.0480288,46.3144754,6431
manager/senior manager- analytics- life & annuities - insurance domain,4 - 9 yrs,predictive modeling| sas| data management| data mining| tableau| data analytics| statistics| analytics| sql| python,analytics & bi,gurgaon,analytics & business intelligence,"it-software, software services",analytics manager,77.00270015,28.42826235,6023
executive medical coder,0 - 0 yrs,molecular biology| chemistry| biotechnology| bhms| biology| physiotherapy| microbiology| nursing| biomedical| physics| medical coding| biochemistry| pharmacy| ophthalmology| micro biology| bioinformatics| zoology| biotech,other,"chennai,thanjavur,karur,salem,hosur,coimbatore","ites , bpo , kpo , lpo , customer service , operations","medical, healthcare, hospitals",trainee,77.1212148,19.0759899,4388
account assistant,3 - 5 yrs,accounts executive| accountant| stock management| gst| auditing| statutory compliance| accounting| account assistant| bank reconciliation| tax audit| banking| monthly reports| payroll| salary processing| income tax| income tax return| taxation,accounts,pune,"accounts , finance , tax , company secretary , audit","architecture, interior design",accounts executive/accountant,73.8544541,18.521428,2776
informatica faculty job requirement in hyderabad,1 - 6 yrs,informatica power center| informatica,programming & design,hyderabad,"it software - dba , datawarehousing","it-software, software services",software developer,78.4740613,17.360589,1900
seo expert/ digital marketing gurgaon,2 - 4 yrs,digital marketing| seo specialist| advertising agency| online marketing| seo| seo expert| facebook marketing,online/digital marketing,gurgaon,"marketing , advertising , mr , pr , media planning","advertising, pr, mr, event management",search engine optimisation /seo specialist,77.00270015,28.42826235,3304
head engineering,5 - 10 yrs,validation| installation| breakdown maintenance| industrial safety| gmp| boiler| design| hvac| gensets| air compressor| breakdown| ro| who,production/manufacturing/maintenance,delhi,"production , manufacturing , maintenance","pharma, biotech, clinical research",engineering manager,77.2219388,28.6517178,6496
